year2,state,size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,d_flag,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1977,08,g) 250 to 499,136,170,59599,58261,4,2.4,0,0,8926,2897,6029,5,15.3,6250,0,6250,0,10.7,2676,4.6,21.4,0,,,
1977,08,h) 500 to 999,39,42,29759,29637,0,0,0,0,2335,0,2335,0,7.9,2091,0,2091,0,7.1,244,0.8,14.2,0,,,
1977,08,i) 1000+,39,48,109467,104756,0,0,0,0,20581,0,20581,0,19.6,11159,0,11159,0,10.7,9422,8.9,21.4,0,,,
1977,08,m. ALL,54232,60185,814072,786487,12873,22.2,8248,14.2,198230,93264,104966,11.9,25.2,143058,62313,80745,7.9,18.2,55172,7,36.4,0,5680,5695,37139
1977,09,a) 1 to 4,32801,34481,78210,72924,7690,22.9,5574,16.6,30009,19641,10368,26.9,41.2,19437,13309,6128,18.3,26.7,10572,14.5,53.4,0,3691,3703,8847
1977,09,b) 5 to 9,11076,12373,85284,81662,866,7.1,584,4.8,22467,10648,11819,13,27.5,15222,7270,7952,8.9,18.6,7245,8.9,37.2,0,343,343,4235
1977,09,c) 10 to 19,6160,6928,97824,94650,317,4.6,256,3.7,21358,8312,13046,8.8,22.6,15010,6649,8361,7,15.9,6348,6.7,31.8,0,133,133,3342
1977,09,d) 20 to 49,3843,4586,148932,143000,205,4.5,159,3.5,32201,12367,19834,8.6,22.5,20337,9239,11098,6.5,14.2,11864,8.3,28.4,0,59,59,3451
1977,09,e) 50 to 99,1312,1629,117134,114499,50,3.1,44,2.7,20051,6511,13540,5.7,17.5,14781,5653,9128,4.9,12.9,5270,4.6,25.8,0,18,18,2194
1977,09,f) 100 to 249,708,903,138148,135369,17,1.9,17,1.9,21377,5331,16046,3.9,15.8,15818,5153,10665,3.8,11.7,5559,4.1,23.4,0,7,7,2139
1977,09,g) 250 to 499,248,299,108070,101721,9,3.1,0,0,20837,7115,13722,7,20.5,8138,0,8138,0,8,12699,12.5,16,0,,,
1977,09,h) 500 to 999,110,132,93847,93386,0,0,0,0,7384,0,7384,0,7.9,6462,0,6462,0,6.9,922,1,13.8,0,,,
1977,09,i) 1000+,62,79,236377,222774,0,0,0,0,39229,0,39229,0,17.6,12023,0,12023,0,5.4,27206,12.2,10.8,0,,,
1977,09,m. ALL,56320,61410,1103826,1059985,9154,15.2,6634,11,214913,69925,144988,6.6,20.3,127228,47273,79955,4.5,12,87685,8.3,24,0,4251,4263,24208
1977,10,a) 1 to 4,5773,6096,14690,13671,1587,27.3,1029,17.7,6050,4678,1372,34.2,44.3,4011,,1381,,29.3,2039,15,58.6,1,678,679,
1977,10,b) 5 to 9,2292,2613,17932,17251,226,8.8,122,4.8,4855,2754,2101,16,28.1,3492,1502,1990,8.7,20.2,1363,7.9,40.4,0,74,74,904
1977,10,c) 10 to 19,1268,1412,20084,19497,94,6.7,60,4.3,4920,2475,2445,12.7,25.2,3745,1584,2161,8.1,19.2,1175,6,38.4,0,36,36,948
1977,10,d) 20 to 49,749,882,27504,27332,35,4,29,3.3,5081,1931,3150,7.1,18.6,4736,1694,3042,6.2,17.3,345,1.3,34.6,0,15,15,853
1977,10,e) 50 to 99,211,237,16762,16519,6,2.5,8,3.4,3356,835,2521,5.1,20.3,2870,1087,1783,6.6,17.4,486,2.9,34.8,0,5,5,712
1977,10,f) 100 to 249,112,137,20048,20631,6,4.4,2,1.5,2887,1587,1300,7.7,14,4053,,3492,,19.6,-1166,-5.6,28,1,1,1,
1977,10,g) 250 to 499,42,45,15837,15967,0,0,0,0,1408,0,1408,0,8.8,1668,0,1668,0,10.4,-260,-1.6,17.6,0,,,
1977,10,h) 500 to 999,16,21,14047,13601,0,0,0,0,1855,0,1855,0,13.6,963,0,963,0,7.1,892,6.5,14.2,0,,,
1977,10,i) 1000+,13,20,76218,76376,0,0,0,0,4407,0,4407,0,5.8,4723,0,4723,0,6.2,-316,-0.4,11.6,0,,,
